road,id,model_type,name,lat,lon,length
N1,1000000,source,source 1,23.7060278,90.443333,0.0
N1,1000001,bridge,bridge 1,23.7029167,90.4504167,0.814
N1,1000002,link,link 1,23.7027778,90.4504722,0.008
N1,1000003,link,link 2,23.7021389,90.4519722,0.178
N1,1000004,link,link 3,23.6978886,90.4605833,1.0
N1,1000005,bridge,bridge 2,23.6973608,90.4616667,0.13
N1,1000006,link,link 4,23.693833,90.4691382,0.87
N1,1000007,link,link 5,23.6936108,90.4787771,1.0
N1,1000008,link,link 6,23.6938052,90.4805271,0.175
N1,1000009,link,link 7,23.6947497,90.4884997,0.825
N1,1000010,link,link 8,23.6959163,90.4981941,1.0
N1,1000011,link,link 9,23.697333,90.50775,1.0
N1,1000012,link,link 10,23.6979163,90.5092778,0.181
N1,1000013,link,link 11,23.7020556,90.5157222,0.819
N1,1000014,bridge,bridge 3,23.7021111,90.5157778,0.011
N1,1000015,bridge,bridge 4,23.7045833,90.5188327,0.418
N1,1000016,link,link 12,23.7050278,90.5193327,0.074
N1,1000017,link,link 13,23.7060833,90.5215271,0.26
N1,1000018,link,link 14,23.7025278,90.5273882,0.74
N1,1000019,bridge,bridge 5,23.7015278,90.5281938,0.112
N1,1000020,bridge,bridge 6,23.6998608,90.5307216,0.348
N1,1000021,bridge,bridge 7,23.6974163,90.5337774,0.414
N1,1000022,link,link 15,23.6966386,90.5348052,0.126
N1,1000023,bridge,bridge 8,23.6943608,90.5376108,0.382
N1,1000024,bridge,bridge 9,23.6922774,90.5410552,0.428
N1,1000025,link,link 16,23.6918052,90.5426108,0.184
N1,1000026,bridge,bridge 10,23.6911108,90.5448886,0.248
N1,1000027,bridge,bridge 11,23.6910552,90.5451386,0.026
N1,1000028,link,link 17,23.6904163,90.546583,0.165
N1,1000029,link,link 18,23.6865274,90.5504167,0.588
N1,1000030,bridge,bridge 12,23.6854997,90.5512778,0.148
N1,1000031,link,link 19,23.678166,90.5556111,0.852
N1,1000032,link,link 20,23.670916,90.5597778,1.0
N1,1000033,bridge,bridge 13,23.6705827,90.5599722,0.039
N1,1000034,link,link 21,23.6628333,90.5641111,0.961
N1,1000035,link,link 22,23.6604167,90.5671104,0.411
N1,1000036,bridge,bridge 14,23.6591111,90.5697216,0.307
N1,1000037,bridge,bridge 15,23.6583056,90.5709993,0.16
N1,1000038,link,link 23,23.6575,90.5719716,0.122
N1,1000039,bridge,bridge 16,23.6559722,90.5743327,0.307
N1,1000040,bridge,bridge 17,23.6559167,90.5745271,0.021
N1,1000041,bridge,bridge 18,23.6540556,90.5772771,0.352
N1,1000042,bridge,bridge 19,23.6539167,90.5774993,0.03
N1,1000043,link,link 24,23.6525278,90.5798882,0.29
N1,1000044,bridge,bridge 20,23.6508889,90.5826382,0.339
N1,1000045,bridge,bridge 21,23.6506944,90.5829993,0.041
N1,1000046,link,link 25,23.6476108,90.588083,0.62
N1,1000047,bridge,bridge 22,23.6449441,90.5899163,0.354
N1,1000048,bridge,bridge 23,23.6397497,90.5926941,0.643
N1,1000049,link,link 26,23.6396941,90.5927219,0.003
N1,1000050,link,link 27,23.6358608,90.5948052,0.52
N1,1000051,bridge,bridge 24,23.6341108,90.5970274,0.298
N1,1000052,bridge,bridge 25,23.6335552,90.5976941,0.1
N1,1000053,link,link 28,23.6330549,90.5982774,0.082
N1,1000054,bridge,bridge 26,23.6262771,90.6042222,0.975
N1,1000055,link,link 29,23.6252216,90.6049722,0.13
N1,1000056,bridge,bridge 27,23.6242216,90.6055278,0.136
N1,1000057,bridge,bridge 28,23.6224993,90.6066944,0.228
N1,1000058,bridge,bridge 29,23.6204716,90.6079722,0.259
N1,1000059,bridge,bridge 30,23.6195271,90.6085833,0.122
N1,1000060,link,link 30,23.6173604,90.6096944,0.255
N1,1000061,bridge,bridge 31,23.6095556,90.6121944,0.935
N1,1000062,link,link 31,23.609,90.6124722,0.065
N1,1000063,bridge,bridge 32,23.6018611,90.6159722,0.874
N1,1000064,link,link 32,23.6009444,90.6165556,0.126
N1,1000065,link,link 33,23.5959997,90.624666,1.0
N1,1000066,bridge,bridge 33,23.5959441,90.6246938,0.01
N1,1000067,bridge,bridge 34,23.5917497,90.6293327,0.674
N1,1000068,link,link 34,23.5896108,90.6313882,0.316
N1,1000069,bridge,bridge 35,23.5837497,90.6369441,0.874
N1,1000070,link,link 35,23.5828327,90.6378886,0.126
N1,1000071,bridge,bridge 36,23.5825827,90.6381386,0.039
N1,1000072,bridge,bridge 37,23.577916,90.6419719,0.656
N1,1000073,bridge,bridge 38,23.5776104,90.6421108,0.039
N1,1000074,link,link 36,23.5745271,90.6436941,0.396
N1,1000075,bridge,bridge 39,23.572166,90.6451108,0.308
N1,1000076,bridge,bridge 40,23.5718327,90.6453052,0.046
N1,1000077,link,link 37,23.5666111,90.6481663,0.646
N1,1000078,bridge,bridge 41,23.5639167,90.6501944,0.368
N1,1000079,bridge,bridge 42,23.5636944,90.6504722,0.038
N1,1000080,bridge,bridge 43,23.5604167,90.6542222,0.532
N1,1000081,bridge,bridge 44,23.5602222,90.6545,0.038
N1,1000082,link,link 38,23.5599722,90.6548056,0.039
N1,1000083,link,link 39,23.5590278,90.6559444,0.162
N1,1000084,bridge,bridge 45,23.5564444,90.6588611,0.412
N1,1000085,bridge,bridge 46,23.5562222,90.6591389,0.04
N1,1000086,link,link 40,23.5538056,90.6619722,0.395
N1,1000087,bridge,bridge 47,23.5523333,90.6636667,0.242
N1,1000088,link,link 41,23.5487497,90.6678327,0.582
N1,1000089,bridge,bridge 48,23.5474163,90.6694438,0.224
N1,1000090,bridge,bridge 49,23.5469441,90.6699993,0.077
N1,1000091,bridge,bridge 50,23.5442219,90.6731104,0.443
N1,1000092,link,link 42,23.542583,90.6749438,0.256
N1,1000093,link,link 43,23.5362497,90.681916,1.0
N1,1000094,bridge,bridge 51,23.536083,90.6821382,0.034
N1,1000095,bridge,bridge 52,23.5358608,90.6823604,0.04
N1,1000096,bridge,bridge 53,23.5341386,90.6843052,0.275
N1,1000097,link,link 44,23.5301938,90.688833,0.651
N1,1000098,bridge,bridge 54,23.529916,90.6952219,0.664
N1,1000099,link,link 45,23.5301382,90.6984997,0.336
N1,1000100,link,link 46,23.5307493,90.7082778,1.0
N1,1000101,bridge,bridge 55,23.5307771,90.7090278,0.078
N1,1000102,link,link 47,23.5313882,90.7153611,0.355
N1,1000103,link,link 48,23.5314716,90.7172216,0.426
N1,1000104,bridge,bridge 56,23.5315271,90.7173604,0.077
N1,1000105,bridge,bridge 57,23.5315827,90.7176104,0.017
N1,1000106,link,link 49,23.5317216,90.7180271,0.047
N1,1000107,bridge,bridge 58,23.5322346,90.7226298386,0.513
N1,1000108,link,link 50,23.5327216,90.7269993,0.487
N1,1000109,link,link 51,23.528916,90.7356108,1.0
N1,1000110,link,link 52,23.5289993,90.7419441,0.654
N1,1000111,bridge,bridge 59,23.5293882,90.7514167,0.967
N1,1000112,bridge,bridge 60,23.5293882,90.7515833,0.017
N1,1000113,link,link 53,23.529416,90.75175,0.024
N1,1000114,link,link 54,23.5299993,90.7615,1.0
N1,1000115,link,link 55,23.5304438,90.7713049,1.0
N1,1000116,bridge,bridge 61,23.5304993,90.7731104,0.185
N1,1000117,link,link 56,23.5308049,90.7811104,0.815
N1,1000118,link,link 57,23.5307493,90.7816104,0.053
N1,1000119,link,link 58,23.530666,90.7821938,0.066
N1,1000120,bridge,bridge 62,23.5312216,90.7895552,0.773
N1,1000121,link,link 59,23.531166,90.7907219,0.108
N1,1000122,link,link 60,23.5306938,90.7924441,0.955
N1,1000123,link,link 61,23.5308604,90.8002222,0.045
N1,1000124,bridge,bridge 63,23.5308882,90.8041389,0.403
N1,1000125,bridge,bridge 64,23.530916,90.8043611,0.02
N1,1000126,link,link 62,23.5316382,90.8099167,0.577
N1,1000127,link,link 63,23.5332493,90.8194716,1.0
N1,1000128,bridge,bridge 65,23.5346663,90.8249716,0.594
N1,1000129,bridge,bridge 66,23.5347219,90.8251104,0.016
N1,1000130,link,link 64,23.5344997,90.8287216,0.39
N1,1000131,link,link 65,23.5292216,90.8365274,1.0
N1,1000132,bridge,bridge 67,23.5270549,90.8391386,0.367
N1,1000133,link,link 66,23.523166,90.8438886,0.633
N1,1000134,link,link 67,23.5174993,90.8513889,1.0
N1,1000135,link,link 68,23.5170827,90.8607778,1.0
N1,1000136,link,link 69,23.5135833,90.8697771,1.0
N1,1000137,bridge,bridge 68,23.5133056,90.8703049,0.064
N1,1000138,bridge,bridge 69,23.5131111,90.8706382,0.042
N1,1000139,link,link 70,23.5126667,90.871416,0.102
N1,1000140,link,link 71,23.5088056,90.8778604,0.792
N1,1000141,link,link 72,23.506,90.8869163,1.0
N1,1000142,bridge,bridge 70,23.5056111,90.8958886,0.922
N1,1000143,link,link 73,23.5056389,90.8966108,0.078
N1,1000144,link,link 74,23.5062778,90.9063889,1.0
N1,1000145,bridge,bridge 71,23.50575,90.91525,0.911
N1,1000146,link,link 75,23.5057222,90.9160278,0.089
N1,1000147,link,link 76,23.5055278,90.9257216,1.0
N1,1000148,link,link 77,23.5042778,90.9354163,1.0
N1,1000149,link,link 78,23.5043333,90.9354719,0.009
N1,1000150,bridge,bridge 72,23.5038611,90.9371386,0.264
N1,1000151,bridge,bridge 73,23.5028611,90.9412774,0.352
N1,1000152,link,link 79,23.5020278,90.9448886,0.375
N1,1000153,link,link 80,23.4995274,90.9541667,1.0
N1,1000154,link,link 81,23.4986386,90.9651111,1.0
N1,1000155,bridge,bridge 74,23.4980552,90.9660278,0.274
N1,1000156,link,link 82,23.4972774,90.9674716,0.183
N1,1000157,link,link 83,23.4942219,90.9765549,1.0
N1,1000158,bridge,bridge 75,23.4951386,90.9829993,0.694
N1,1000159,link,link 84,23.4942497,90.985833,0.306
N1,1000160,link,link 85,23.4911386,90.9950274,1.0
N1,1000161,link,link 86,23.4894441,91.0033056,0.89
N1,1000162,link,link 87,23.4893886,91.0034722,0.022
N1,1000163,link,link 88,23.4896108,91.0043056,0.071
N1,1000164,link,link 89,23.4893052,91.0112778,0.734
N1,1000165,bridge,bridge 76,23.4890552,91.0120278,0.084
N1,1000166,bridge,bridge 77,23.4889441,91.01225,0.03
N1,1000167,link,link 90,23.488333,91.0140833,0.198
N1,1000168,link,link 91,23.4846386,91.0229438,1.02
N1,1000169,link,link 92,23.4827771,91.0321382,1.0
N1,1000170,bridge,bridge 78,23.481166,91.0404441,0.913
N1,1000171,link,link 93,23.4814716,91.0419719,0.141
N1,1000172,bridge,bridge 79,23.4820827,91.0504167,0.871
N1,1000173,link,link 94,23.4821382,91.0516944,0.129
N1,1000174,link,link 95,23.4815271,91.0590278,0.76
N1,1000175,link,link 96,23.4815549,91.0613611,0.24
N1,1000176,link,link 97,23.4801104,91.0706382,1.0
N1,1000177,bridge,bridge 80,23.4770827,91.0789993,0.944
N1,1000178,link,link 98,23.4770271,91.0794716,0.056
N1,1000179,link,link 99,23.4781938,91.0889997,1.0
N1,1000180,link,link 100,23.4775549,91.0986663,1.0
N1,1000181,bridge,bridge 81,23.4778604,91.1036111,0.513
N1,1000182,link,link 101,23.4779993,91.1055278,0.487
N1,1000183,bridge,bridge 82,23.4789438,91.1177216,0.972
N1,1000184,link,link 102,23.4789716,91.1179993,0.028
N1,1000185,link,link 103,23.4789716,91.118166,0.017
N1,1000186,bridge,bridge 83,23.4793327,91.1234716,0.547
N1,1000187,link,link 104,23.4800827,91.1276382,0.436
N1,1000188,link,link 105,23.4767216,91.1364441,1.0
N1,1000189,link,link 106,23.4682216,91.1394441,1.0
N1,1000190,link,link 107,23.4595833,91.1421386,1.0
N1,1000191,link,link 108,23.459,91.142333,0.068
N1,1000192,link,link 109,23.4513056,91.1460552,0.932
N1,1000193,bridge,bridge 84,23.448833,91.1471386,0.303
N1,1000194,bridge,bridge 85,23.4486386,91.1472497,0.024
N1,1000195,link,link 110,23.4469441,91.1481386,0.21
N1,1000196,link,link 111,23.4425274,91.1497774,0.463
N1,1000197,link,link 112,23.4373886,91.1521944,0.684
N1,1000198,link,link 113,23.4288882,91.1553889,1.0
N1,1000199,link,link 114,23.4236938,91.1626944,0.98
N1,1000200,bridge,bridge 86,23.4235827,91.1629722,0.028
N1,1000201,bridge,bridge 87,23.423416,91.1632778,0.037
N1,1000202,link,link 115,23.4213604,91.167666,0.508
N1,1000203,link,link 116,23.4195271,91.171416,0.427
N1,1000204,link,link 117,23.4191382,91.1721938,0.09
N1,1000205,link,link 118,23.4149444,91.1801382,0.538
N1,1000206,bridge,bridge 88,23.4131111,91.1846663,0.511
N1,1000207,bridge,bridge 89,23.4130556,91.1849163,0.028
N1,1000208,link,link 119,23.4125,91.1893886,0.461
N1,1000209,link,link 120,23.4113056,91.1988886,1.008
N1,1000210,link,link 121,23.4100833,91.2087778,1.027
N1,1000211,bridge,bridge 90,23.4100278,91.2090833,0.037
N1,1000212,link,link 122,23.4048056,91.2165278,0.98
N1,1000213,bridge,bridge 91,23.40375,91.2176382,0.172
N1,1000214,bridge,bridge 92,23.4035556,91.2178049,0.029
N1,1000215,link,link 123,23.398213447804338,91.22288776581436,0.799
N1,1000216,link,link 124,23.3915274,91.2292493,1.0
N1,1000217,bridge,bridge 93,23.3914441,91.2293049,0.01
N1,1000218,bridge,bridge 94,23.385083,91.2345552,0.892
N1,1000219,bridge,bridge 95,23.3849719,91.2346108,0.015
N1,1000220,link,link 125,23.3843886,91.2351108,0.083
N1,1000221,bridge,bridge 96,23.3779716,91.2403608,0.898
N1,1000222,bridge,bridge 97,23.3777493,91.2405274,0.03
N1,1000223,link,link 126,23.377166,91.2409163,0.072
N1,1000224,link,link 127,23.3695827,91.2462774,1.0
N1,1000225,bridge,bridge 98,23.3683327,91.2471108,0.171
N1,1000226,link,link 128,23.3615278,91.2515556,0.904
N1,1000227,bridge,bridge 99,23.3586389,91.25325,0.366
N1,1000228,bridge,bridge 100,23.3584444,91.2533333,0.024
N1,1000229,link,link 129,23.3536944,91.2561389,0.61
N1,1000230,bridge,bridge 101,23.3486386,91.2599444,0.687
N1,1000231,link,link 130,23.3463608,91.2616944,0.313
N1,1000232,link,link 131,23.3390552,91.2672216,1.0
N1,1000233,bridge,bridge 102,23.3360274,91.2700549,0.444
N1,1000234,bridge,bridge 103,23.3357219,91.2703049,0.044
N1,1000235,link,link 132,23.3347219,91.271166,0.143
N1,1000236,link,link 133,23.3321938,91.2734716,0.369
N1,1000237,link,link 134,23.3246382,91.278666,1.0
N1,1000238,bridge,bridge 104,23.324166,91.2791104,0.073
N1,1000239,bridge,bridge 105,23.3240827,91.279166,0.01
N1,1000240,link,link 135,23.3171382,91.2836941,0.917
N1,1000241,bridge,bridge 106,23.3149444,91.2844719,0.27
N1,1000242,bridge,bridge 107,23.31475,91.2845552,0.019
N1,1000243,bridge,bridge 108,23.3096389,91.2861386,0.598
N1,1000244,link,link 136,23.3086944,91.2864163,0.113
N1,1000245,bridge,bridge 109,23.30425,91.288583,0.547
N1,1000246,link,link 137,23.3006111,91.290333,0.453
N1,1000247,bridge,bridge 110,23.296083,91.2914997,0.519
N1,1000248,bridge,bridge 111,23.2959719,91.2915274,0.014
N1,1000249,link,link 138,23.2919163,91.2922219,0.467
N1,1000250,bridge,bridge 112,23.2876663,91.2936386,0.502
N1,1000251,link,link 139,23.283583,91.2952219,0.498
N1,1000252,bridge,bridge 113,23.2787216,91.3002778,0.774
N1,1000253,link,link 140,23.2768882,91.3011944,0.226
N1,1000254,link,link 141,23.2686382,91.3049722,1.0
N1,1000255,bridge,bridge 114,23.2677493,91.3054722,0.116
N1,1000256,bridge,bridge 115,23.2654444,91.3064444,0.277
N1,1000257,bridge,bridge 116,23.2636667,91.30675,0.203
N1,1000258,link,link 142,23.2601111,91.3072778,0.404
N1,1000259,bridge,bridge 117,23.2587222,91.3074444,0.156
N1,1000260,link,link 143,23.2511944,91.3086389,0.844
N1,1000261,bridge,bridge 118,23.249833,91.3091944,0.174
N1,1000262,bridge,bridge 119,23.248333,91.3098056,0.186
N1,1000263,bridge,bridge 120,23.2481663,91.3098889,0.023
N1,1000264,bridge,bridge 121,23.2452774,91.3110556,0.347
N1,1000265,link,link 144,23.243083,91.3119167,0.27
N1,1000266,bridge,bridge 122,23.2416941,91.3123611,0.163
N1,1000267,bridge,bridge 123,23.2344997,91.3131667,0.817
N1,1000268,link,link 145,23.2343052,91.3131667,0.02
N1,1000269,bridge,bridge 124,23.2314993,91.3132222,0.315
N1,1000270,bridge,bridge 125,23.2275549,91.3135278,0.448
N1,1000271,link,link 146,23.2253882,91.3135833,0.237
N1,1000272,link,link 147,23.221416,91.3137222,0.45
N1,1000273,bridge,bridge 126,23.2184993,91.3143889,0.328
N1,1000274,link,link 148,23.2165556,91.3149167,0.222
N1,1000275,bridge,bridge 127,23.2103056,91.3157222,0.718
N1,1000276,link,link 149,23.2078889,91.3159722,0.282
N1,1000277,bridge,bridge 128,23.201,91.3168049,0.771
N1,1000278,link,link 150,23.1990274,91.3170549,0.229
N1,1000279,bridge,bridge 129,23.1921108,91.3185549,0.865
N1,1000280,link,link 151,23.1909997,91.3192493,0.135
N1,1000281,bridge,bridge 130,23.1866941,91.3212493,0.523
N1,1000282,bridge,bridge 131,23.1866108,91.3212771,0.012
N1,1000283,link,link 152,23.1826382,91.3210827,0.465
N1,1000284,bridge,bridge 132,23.1773604,91.3198049,0.614
N1,1000285,link,link 153,23.172916,91.3205271,0.515
N1,1000286,bridge,bridge 133,23.1681382,91.3213604,0.546
N1,1000287,bridge,bridge 134,23.1680549,91.3213604,0.014
N1,1000288,link,link 154,23.1641389,91.3214993,0.44
N1,1000289,bridge,bridge 135,23.1571667,91.3224993,0.792
N1,1000290,link,link 155,23.1554167,91.3232771,0.208
N1,1000291,link,link 156,23.1496941,91.3254993,0.632
N1,1000292,bridge,bridge 136,23.1480274,91.3264993,0.269
N1,1000293,link,link 157,23.1471663,91.3266938,0.099
N1,1000294,bridge,bridge 137,23.1433886,91.326666,0.421
N1,1000295,link,link 158,23.1382219,91.3263049,0.579
N1,1000296,bridge,bridge 138,23.1374163,91.3264716,0.102
N1,1000297,link,link 159,23.1295827,91.3284993,0.898
N1,1000298,bridge,bridge 139,23.1290827,91.3287216,0.07
N1,1000299,bridge,bridge 140,23.1234993,91.3311382,0.675
N1,1000300,link,link 160,23.1213327,91.3320549,0.255
N1,1000301,bridge,bridge 141,23.1193049,91.3329993,0.248
N1,1000302,link,link 161,23.1191382,91.3330827,0.028
N1,1000303,link,link 162,23.1113611,91.3378052,1.0
N1,1000304,bridge,bridge 142,23.1108056,91.3381386,0.075
N1,1000305,bridge,bridge 143,23.1051111,91.3413608,0.72
N1,1000306,link,link 163,23.1035,91.3422497,0.205
N1,1000307,bridge,bridge 144,23.1005833,91.3437774,0.368
N1,1000308,bridge,bridge 145,23.0961941,91.3461108,0.55
N1,1000309,link,link 164,23.095583,91.3464441,0.082
N1,1000310,bridge,bridge 146,23.0901108,91.3494163,0.688
N1,1000311,link,link 165,23.0876108,91.3508889,0.312
N1,1000312,bridge,bridge 147,23.0849719,91.3524722,0.345
N1,1000313,bridge,bridge 148,23.0808049,91.3548611,0.527
N1,1000314,bridge,bridge 149,23.0806938,91.3549444,0.017
N1,1000315,link,link 166,23.0792493,91.3558333,0.193
N1,1000316,bridge,bridge 150,23.0732493,91.3594167,0.766
N1,1000317,link,link 167,23.0712493,91.3599722,0.234
N1,1000318,link,link 168,23.0688604,91.3607222,0.275
N1,1000319,bridge,bridge 151,23.0636944,91.3616389,0.611
N1,1000320,link,link 169,23.0635278,91.3616389,0.018
N1,1000321,link,link 170,23.0614722,91.3616667,0.23
N1,1000322,link,link 171,23.0538611,91.3637222,0.882
N1,1000323,link,link 172,23.0479441,91.3651389,0.5
N1,1000324,link,link 173,23.0449719,91.3653611,0.521
N1,1000325,bridge,bridge 152,23.0427774,91.3654444,0.196
N1,1000326,link,link 174,23.0398052,91.3656111,0.336
N1,1000327,link,link 175,23.0360274,91.36575,0.468
N1,1000328,bridge,bridge 153,23.029416,91.3656389,0.735
N1,1000329,link,link 176,23.0269716,91.3655,0.287
N1,1000330,link,link 177,23.0248327,91.3655278,0.24
N1,1000331,link,link 178,23.0193604,91.3697771,0.761
N1,1000332,bridge,bridge 154,23.0185271,91.3708327,0.151
N1,1000333,bridge,bridge 155,23.0140833,91.3759716,0.724
N1,1000334,link,link 179,23.0132778,91.3769438,0.125
N1,1000335,link,link 180,23.0095556,91.3813604,0.614
N1,1000336,link,link 181,23.0018889,91.3920552,1.407
N1,1000337,link,link 182,22.9963886,91.3998052,1.0
N1,1000338,bridge,bridge 156,22.9961941,91.4005,0.085
N1,1000339,bridge,bridge 157,22.9960552,91.4006667,0.023
N1,1000340,link,link 183,22.9906941,91.4072222,0.917
N1,1000341,link,link 184,22.9877774,91.41,0.448
N1,1000342,link,link 185,22.9858886,91.4120556,0.296
N1,1000343,link,link 186,22.9842219,91.4137222,0.256
N1,1000344,link,link 187,22.9774438,91.4205827,1.051
N1,1000345,link,link 188,22.9711382,91.4273882,1.0
N1,1000346,link,link 189,22.9663333,91.4356108,1.0
N1,1000347,bridge,bridge 158,22.9624167,91.4416941,0.78
N1,1000348,bridge,bridge 159,22.9618056,91.4424997,0.109
N1,1000349,link,link 190,22.9611667,91.4433886,0.111
N1,1000350,link,link 191,22.9561389,91.4517778,1.043
N1,1000351,link,link 192,22.9514444,91.4600278,1.0
N1,1000352,link,link 193,22.9479997,91.4689993,1.012
N1,1000353,link,link 194,22.9483608,91.4761382,0.738
N1,1000354,link,link 195,22.9484997,91.4786938,0.262
N1,1000355,link,link 196,22.9497497,91.4883608,1.008
N1,1000356,link,link 197,22.9497774,91.4980274,1.0
N1,1000357,bridge,bridge 160,22.9496663,91.5007778,0.288
N1,1000358,bridge,bridge 161,22.949583,91.5027778,0.211
N1,1000359,link,link 198,22.9482774,91.50725,0.509
N1,1000360,link,link 199,22.9439441,91.5108611,0.619
N1,1000361,link,link 200,22.940833,91.5124444,0.381
N1,1000362,link,link 201,22.9329716,91.5172216,1.0
N1,1000363,link,link 202,22.9248882,91.5213327,1.0
N1,1000364,link,link 203,22.9167216,91.5253882,1.0
N1,1000365,bridge,bridge 162,22.9156667,91.5259438,0.134
N1,1000366,bridge,bridge 163,22.9138056,91.5268604,0.228
N1,1000367,link,link 204,22.9085833,91.5294993,0.638
N1,1000368,bridge,bridge 164,22.9046667,91.5314438,0.464
N1,1000369,link,link 205,22.9003333,91.5333608,0.536
N1,1000370,link,link 206,22.8994441,91.5336108,0.083
N1,1000371,link,link 207,22.8939997,91.5346941,0.637
N1,1000372,link,link 208,22.8929719,91.5350274,0.113
N1,1000373,bridge,bridge 165,22.8921663,91.5353052,0.104
N1,1000374,link,link 209,22.8916386,91.5354719,0.063
N1,1000375,bridge,bridge 166,22.8829993,91.5381663,1.0
N1,1000376,bridge,bridge 167,22.875166,91.5407219,0.915
N1,1000377,link,link 210,22.8744438,91.5409719,0.085
N1,1000378,bridge,bridge 168,22.8731382,91.5414441,0.162
N1,1000379,bridge,bridge 169,22.868416,91.5431663,0.556
N1,1000380,link,link 211,22.8661111,91.5439997,0.282
N1,1000381,bridge,bridge 170,22.86111772310757,91.54512584501992,0.576
N1,1000382,bridge,bridge 171,22.8595833,91.5454719,0.177
N1,1000383,link,link 212,22.8575556,91.5456386,0.247
N1,1000384,bridge,bridge 172,22.856,91.5457219,0.165
N1,1000385,bridge,bridge 173,22.8550556,91.545833,0.113
N1,1000386,link,link 213,22.8486663,91.5463608,0.722
N1,1000387,bridge,bridge 174,22.8485274,91.5463886,0.017
N1,1000388,bridge,bridge 175,22.8484441,91.5464163,0.01
N1,1000389,bridge,bridge 176,22.8452219,91.5475274,0.38
N1,1000390,bridge,bridge 177,22.8432497,91.5482219,0.24
N1,1000391,link,link 214,22.8401941,91.5490552,0.353
N1,1000392,bridge,bridge 178,22.8372497,91.5492497,0.314
N1,1000393,link,link 215,22.8313882,91.5503611,0.686
N1,1000394,bridge,bridge 179,22.8239438,91.5528333,0.872
N1,1000395,link,link 216,22.8228049,91.5531389,0.128
N1,1000396,link,link 217,22.8141389,91.5555833,1.0
N1,1000397,bridge,bridge 180,22.8110556,91.5563889,0.34
N1,1000398,bridge,bridge 181,22.808,91.5579167,0.406
N1,1000399,bridge,bridge 182,22.8059722,91.5589167,0.252
N1,1000400,link,link 218,22.8059444,91.5589167,0.002
N1,1000401,bridge,bridge 183,22.8045833,91.5591111,0.155
N1,1000402,link,link 219,22.7974719,91.5613611,0.845
N1,1000403,bridge,bridge 184,22.7934163,91.5633333,0.493
N1,1000404,bridge,bridge 185,22.7896108,91.5654444,0.472
N1,1000405,link,link 220,22.7893608,91.5655833,0.035
N1,1000406,bridge,bridge 186,22.7813327,91.5695271,0.994
N1,1000407,link,link 221,22.7812216,91.5695827,0.006
N1,1000408,bridge,bridge 187,22.7811382,91.5696382,0.015
N1,1000409,link,link 222,22.7771104,91.5713327,0.486
N1,1000410,bridge,bridge 188,22.7732771,91.5733604,0.475
N1,1000411,link,link 223,22.7730271,91.5734716,0.024
