road,id,model_type,name,lat,lon,length,condition,lrp,real_name
N1,1000000,sourcesink,sourcesink 1,23.7060278,90.443333,0.0,A,LRPS,Start of Road  after Jatrabari Flyover infront of filling station.
N1,1000001,link,link 1,23.7029167,90.4504167,814.0,A,LRPSa,Box Culvert
N1,1000002,link,link 2,23.7027778,90.4504722,8.0,A,LRPSb,Intersection with Z1101
N1,1000003,link,link 3,23.7021389,90.4519722,178.0,A,LRP001,Km post missing
N1,1000004,link,link 4,23.6978886,90.4605833,1000.0,A,LRP002,Km post missing
N1,1000005,link,link 5,23.6973608,90.4616667,130.0,A,LRP002a,Box culvert
N1,1000006,link,link 6,23.693833,90.4691382,870.0,A,LRP003,Km post missing
N1,1000007,link,link 7,23.6936108,90.4787771,1000.0,A,LRP004,Km post missing
N1,1000008,link,link 8,23.6938052,90.4805271,175.0,A,LRP004a,Road to Narayanganj(R111)
N1,1000009,link,link 9,23.6947497,90.4884997,825.0,A,LRP005,Km post missing
N1,1000010,link,link 10,23.6959163,90.4981941,1000.0,A,LRP006,Km post missing
N1,1000011,link,link 11,23.697333,90.50775,1000.0,A,LRP007,Km post missing
N1,1000012,link,link 12,23.6979163,90.5092778,181.0,A,LRP007a,"R110,Left to Demra, Right to Narayanganj"
N1,1000013,link,link 13,23.7020556,90.5157222,819.0,A,LRP008,Km post missing
N1,1000014,link,link 14,23.7021111,90.5157778,11.0,A,LRP008a,Kachpur bridge
N1,1000015,bridge,bridge 1,23.7045833,90.5188327,397.0,C,LRP008b,KANCHPUR PC GIRDER BRIDGE
N1,1000016,intersection,intersection 1,23.7050278,90.5193327,74.0,A,LRP009,"Chittagong 251 km,Comilla 84 km"
N1,1000017,intersection,intersection 2,23.7060833,90.5215271,260.0,A,LRP009a,Road to Sylhet (N2)
N1,1000018,link,link 15,23.7025278,90.5273882,740.0,A,LRP010,Km post missing
N1,1000019,bridge,bridge 2,23.7015278,90.5281938,8.0,B,LRP010a,KATCHPUR BOX CULVERT
N1,1000020,bridge,bridge 3,23.6998608,90.5307216,6.3,A,LRP010b,NOYAPARA CULVERT
N1,1000021,bridge,bridge 4,23.6974163,90.5337774,6.3,A,LRP010c,ADUPUR CULVERT
N1,1000022,link,link 16,23.6966386,90.5348052,126.0,A,LRP011,Km post missing
N1,1000023,bridge,bridge 5,23.6943608,90.5376108,8.3,A,LRP011a,NAYABARI KASPUR BOX CULVERT
N1,1000024,link,link 17,23.6922774,90.5410552,428.0,A,LRP011b,Box culvert
