agent_id,name,road,lat,lon,length_m,condition,betweenness,daily_tonnes,criticality_score,condition_weight,flood_risk,vulnerability_score
1000015,bridge 1,N1,23.7045833,90.5188327,397.0,C,0.009019670925636547,46889.98095238095,422.932197899842,3,1.0,3.0
1000019,bridge 2,N1,23.7015278,90.5281938,8.0,B,0.011941602942614066,46889.98095238095,559.9415345200699,2,1.0,2.0
1000020,bridge 3,N1,23.6998608,90.5307216,6.3,A,0.011989204481621064,46889.98095238095,562.173569777412,1,1.0,1.0
1000021,bridge 4,N1,23.6974163,90.5337774,6.3,A,0.012036441257877051,46889.98095238095,564.3885013163072,1,1.0,1.0
1000023,bridge 5,N1,23.6943608,90.5376108,8.3,A,0.012129820522135992,46889.98095238095,568.7670532387563,1,1.0,1.0
1000026,bridge 6,N1,23.6911108,90.5448886,9.3,A,0.013626077326785113,46889.98095238095,638.926506308624,1,1.0,1.0
1000027,bridge 7,N1,23.6910552,90.5451386,6.1,A,0.014214986788293159,46889.98095238095,666.5404597414131,1,1.0,1.0
1000030,bridge 8,N1,23.6854997,90.5512778,26.3,A,0.0905817163400581,46889.98095238095,4247.374953819299,1,1.0,1.0
1000035,bridge 9,N1,23.6604167,90.5671104,5.55,B,0.09076172675768227,46889.98095238095,4255.815638872926,2,1.0,2.0
1000040,bridge 10,N1,23.6559167,90.5745271,159.52,C,0.09095213291371027,46889.98095238095,4264.7437799022955,3,1.0,3.0
1000044,bridge 11,N1,23.6508889,90.5826382,20.0,B,0.09110478612500857,46889.98095238095,4271.901686072392,2,1.0,2.0
1000045,bridge 12,N1,23.6506944,90.5829993,20.45,A,0.09114253906973827,46889.98095238095,4273.671920931664,1,1.0,1.0
1000047,bridge 13,N1,23.6449441,90.5899163,40.5,C,0.09121804495919764,46889.98095238095,4277.2123906502065,3,1.0,3.0
1000048,bridge 14,N1,23.6397497,90.5926941,40.33,B,0.09125543314117632,46889.98095238095,4278.965521791031,2,1.0,2.0
1000050,bridge 15,N1,23.6358608,90.5948052,6.0,A,0.09132911521688064,46889.98095238095,4282.420472917339,1,1.0,1.0
1000051,bridge 16,N1,23.6341108,90.5970274,10.4,B,0.09136540911060628,46889.98095238095,4284.122292902822,2,1.0,2.0
1000056,bridge 17,N1,23.6242216,90.6055278,5.5,B,0.09154687857923449,46889.98095238095,4292.631392830237,2,1.0,2.0
1000061,bridge 18,N1,23.6095556,90.6121944,213.5,B,0.09172980709886676,46889.98095238095,4301.208907631441,2,1.0,2.0
1000063,bridge 19,N1,23.6018611,90.6159722,900.0,C,0.09180148297944052,46889.98095238095,4304.56978830629,3,1.0,3.0
1000066,bridge 20,N1,23.5959441,90.6246938,5.6,A,0.09191091180474396,46889.98095238095,4309.70090384041,1,1.0,1.0
1000067,bridge 21,N1,23.5917497,90.6293327,5.5,A,0.09194793522397163,46889.98095238095,4311.436931262787,1,1.0,1.0
1000069,bridge 22,N1,23.5837497,90.6369441,5.6,A,0.09202198206242695,46889.98095238095,4314.908986107542,1,1.0,1.0
1000071,bridge 23,N1,23.5825827,90.6381386,163.5,A,0.09209493461262926,46889.98095238095,4318.329729796955,1,1.0,1.0
1000072,bridge 24,N1,23.577916,90.6419719,172.1,A,0.09213086374360388,46889.98095238095,4320.014446063991,1,1.0,1.0
1000075,bridge 25,N1,23.572166,90.6451108,29.0,A,0.09223719208552374,46889.98095238095,4325.000179991312,1,1.0,1.0
1000076,bridge 26,N1,23.5718327,90.6453052,29.77,A,0.09227257407237185,46889.98095238095,4326.659240680677,1,1.0,1.0
1000078,bridge 27,N1,23.5639167,90.6501944,34.7,A,0.09234479709707212,46889.98095238095,4330.045776933196,1,1.0,1.0
1000083,bridge 28,N1,23.5590278,90.6559444,26.3,B,0.09252079512443516,46889.98095238095,4338.298321083905,2,1.0,2.0
1000087,bridge 29,N1,23.5523333,90.6636667,29.0,A,0.09265885782569301,46889.98095238095,4344.77207851612,1,1.0,1.0
1000089,bridge 30,N1,23.5474163,90.6694438,9.1,A,0.09272816274838519,46889.98095238095,4348.021785021063,1,1.0,1.0
1000090,bridge 31,N1,23.5469441,90.6699993,5.2,A,0.09276263282835578,46889.98095238095,4349.638086414311,1,1.0,1.0
1000094,bridge 32,N1,23.536083,90.6821382,9.5,A,0.09290397839437273,46889.98095238095,4356.265777312548,1,1.0,1.0
1000098,bridge 33,N1,23.529916,90.6952219,24.5,B,0.09304842444377329,46889.98095238095,4363.038849817588,2,1.0,2.0
1000118,bridge 34,N1,23.5307493,90.7816104,3.9,C,0.09378597472631851,46889.98095238095,4397.622568517557,3,1.0,3.0
1000122,bridge 35,N1,23.5306938,90.7924441,6.5,C,0.0939409988954984,46889.98095238095,4404.89164885756,3,1.0,3.0
1000137,bridge 36,N1,23.5133056,90.8703049,28.9,C,0.09869714040593718,46889.98095238095,4627.907033688863,3,1.0,3.0
1000158,bridge 37,N1,23.4951386,90.9829993,4.5,A,0.10812169798519647,46889.98095238095,5069.824359064948,1,1.0,1.0
1000165,bridge 38,N1,23.4890552,91.0120278,23.1,C,0.11134638308551352,46889.98095238095,5221.029781996242,3,1.0,3.0
1000170,bridge 39,N1,23.481166,91.0404441,4.6,B,0.11366116750343241,46889.98095238095,5329.569979261327,2,1.0,2.0
1000172,bridge 40,N1,23.4820827,91.0504167,4.6,B,0.11458967108613216,46889.98095238095,5373.107494568336,2,1.0,2.0
