road,base_link,link_name,start_chainage_km,end_chainage_km,length_km,heavy_truck,medium_truck,small_truck,total_AADT,truck_AADT
N1,N1-1,Jatrabari - Int.with Z1101 (Left) (Left),0.0,0.822,0.822,402.0,5842.0,1147.0,19357.0,7391.0
N1,N1-1,Jatrabari - Int.with Z1101 (Left) (Right),0.0,0.822,0.822,660.0,6155.0,1554.0,21537.0,8369.0
N1,N1-10,Bhaberchar(Int.with Z1063)-Daudkandi Bridge (Left) (Left),30.936,36.271,5.335,355.0,5314.0,1116.0,14822.0,6785.0
N1,N1-10,Bhaberchar(Int.with Z1063)-Daudkandi Bridge (Left) (Right),30.936,36.271,5.335,244.0,4999.0,1005.0,14551.0,6248.0
N1,N1-11,Daudkandi Bridge- Daudkandi Z1062 (Left),36.271,38.466,2.195,355.0,5314.0,1116.0,14822.0,6785.0
N1,N1-11,Daudkandi Bridge- Daudkandi Z1062 (Right),36.271,38.466,2.195,244.0,4999.0,1005.0,14551.0,6248.0
N1,N1-12,Daudkandi Z1062 - Pennai Z1053 (Left),38.466,45.388,6.922,348.0,4941.0,928.0,11681.0,6217.0
N1,N1-12,Daudkandi Z1062 - Pennai Z1053 (Right),38.466,45.388,6.922,359.0,4772.0,851.0,11583.0,5982.0
N1,N1-13,Pennai Z1053- Gouripur (Int.with Z1044) (Left),45.388,47.224,1.836,348.0,4941.0,928.0,11681.0,6217.0
N1,N1-13,Pennai Z1053- Gouripur (Int.with Z1044) (Right),45.388,47.224,1.836,359.0,4772.0,851.0,11583.0,5982.0
N1,N1-14,Gouripur (Int.with Z1044) - Eliotganj Z1042 (Left),47.224,55.477,8.253,359.0,4772.0,851.0,11583.0,5982.0
N1,N1-14,Gouripur (Int.with Z1044) - Eliotganj Z1042 (Right),47.224,55.477,8.253,348.0,4941.0,928.0,11681.0,6217.0
N1,N1-15,Eliotganj Z1042- Madhaya Z1017 (Left),55.477,62.278,6.801,348.0,4941.0,928.0,11681.0,6217.0
N1,N1-15,Eliotganj Z1042- Madhaya Z1017 (Right),55.477,62.278,6.801,359.0,4772.0,851.0,11583.0,5982.0
N1,N1-16,Madhaya Z1017 - Chandina Z1022 (Left),62.278,69.638,7.36,348.0,4941.0,928.0,11681.0,6217.0
N1,N1-16,Madhaya Z1017 - Chandina Z1022 (Right),62.278,69.638,7.36,359.0,4772.0,851.0,11583.0,5982.0
N1,N1-17,Chandina Z1022 - Nimsar (Int.with Z1219 & Z1028) (Left),69.638,75.589,5.951,308.0,5253.0,680.0,14002.0,6241.0
N1,N1-17,Chandina Z1022 - Nimsar (Int.with Z1219 & Z1028) (Right),69.638,75.589,5.951,336.0,5605.0,763.0,14213.0,6704.0
N1,N1-18,Nimsar (Int.with Z1219 & Z1028) - Mainamati N102 (Left),75.589,81.846,6.257,308.0,5253.0,680.0,14002.0,6241.0
N1,N1-18,Nimsar (Int.with Z1219 & Z1028) - Mainamati N102 (Right),75.589,81.846,6.257,336.0,5605.0,763.0,14213.0,6704.0
N1,N1-19,Mainamati N102- Int.with Z1029 (Left),81.846,85.897,4.051,308.0,5253.0,680.0,14002.0,6241.0
N1,N1-19,Mainamati N102- Int.with Z1029 (Right),81.846,85.897,4.051,336.0,5605.0,763.0,14213.0,6704.0
N1,N1-2,Int.with Z1101 - Signboard (Left) R111 (Left),0.822,4.175,3.353,660.0,6155.0,1554.0,21537.0,8369.0
N1,N1-2,Int.with Z1101 - Signboard (Left) R111 (Right),0.822,4.175,3.353,402.0,5842.0,1147.0,19357.0,7391.0
N1,N1-20,Int.with Z1029 - Int.with Z1052 (Left),85.897,87.366,1.469,308.0,5253.0,680.0,14002.0,6241.0
N1,N1-20,Int.with Z1029 - Int.with Z1052 (Right),85.897,87.366,1.469,336.0,5605.0,763.0,14213.0,6704.0
N1,N1-21,Int.with Z1052 - Changani (Kotbari) (Left),87.366,89.41,2.044,294.0,5781.0,770.0,12042.0,6845.0
N1,N1-21,Int.with Z1052 - Changani (Kotbari) (Right),87.366,89.41,2.044,321.0,5542.0,848.0,11956.0,6711.0
N1,N1-22,Changani (Kotbari) - Paduar Bazar Biswa Rd. R140 (Left),89.41,91.583,2.173,294.0,5781.0,770.0,12042.0,6845.0
N1,N1-22,Changani (Kotbari) - Paduar Bazar Biswa Rd. R140 (Right),89.41,91.583,2.173,321.0,5542.0,848.0,11956.0,6711.0
N1,N1-23,Paduar Bazar Biswa Rd. R140 - Miabazar Z1046 (Left),91.583,105.879,14.296,294.0,5781.0,770.0,12042.0,6845.0
N1,N1-23,Paduar Bazar Biswa Rd. R140 - Miabazar Z1046 (Right),91.583,105.879,14.296,321.0,5542.0,848.0,11956.0,6711.0
N1,N1-24,Miabazar Z1046 - Chauddagram(Int.with Z1045) (Left),105.879,119.698,13.819,294.0,5781.0,770.0,12042.0,6845.0
N1,N1-24,Miabazar Z1046 - Chauddagram(Int.with Z1045) (Right),105.879,119.698,13.819,321.0,5542.0,848.0,11956.0,6711.0
N1,N1-25,Chauddagram(Int.with Z1045)-Md. Ali bazar (Int.with Z1031) (Left),119.698,138.869,19.171,459.0,3515.0,726.0,8619.0,4700.0
