Scenario,Replication,Seed,agent_id,agent_type,name,road,condition,is_broken,broke_during_flood,total_vehicles_passed,length
2,1,123,1000000,SourceSink,sourcesink 1,N1,,,,2651,0.0
2,1,123,1000001,Link,,N1,,,,9851,7901.113999999999
2,1,123,1000015,Bridge,bridge 1,N1,C,False,False,7852,397.0
2,1,123,1000016,Link,,N1,,,,93,70.954
2,1,123,1000017,Intersection,intersection 1,N1,,,,3807,252.369
2,1,123,1000018,Link,,N1,,,,6629,715.823
2,1,123,1000019,Bridge,bridge 2,N1,B,False,False,0,8.0
2,1,123,1000020,Bridge,bridge 3,N1,A,False,False,0,6.3
2,1,123,1000021,Bridge,bridge 4,N1,A,True,True,8180,6.3
2,1,123,1000022,Link,,N1,,,,145,135.756
2,1,123,1000023,Bridge,bridge 5,N1,A,False,False,0,8.3
2,1,123,1000024,Link,,N1,,,,5295,587.193
2,1,123,1000026,Bridge,bridge 6,N1,A,False,False,0,9.3
2,1,123,1000027,Bridge,bridge 7,N1,A,False,False,0,6.1
2,1,123,1000028,Intersection,intersection 2,N1,,,,5292,163.334
2,1,123,1000029,Link,,N1,,,,10022,582.564
2,1,123,1000030,Bridge,bridge 8,N1,A,False,False,0,26.3
2,1,123,1000031,Link,,N1,,,,14607,2839.505
2,1,123,1000035,Bridge,bridge 9,N1,B,True,True,11614,5.55
2,1,123,1000036,Link,,N1,,,,14605,888.934
2,1,123,1000040,Bridge,bridge 10,N1,C,True,True,12993,159.52
2,1,123,1000041,Link,,N1,,,,13753,663.843
2,1,123,1000044,Bridge,bridge 11,N1,B,False,False,0,20.0
2,1,123,1000045,Bridge,bridge 12,N1,A,False,False,0,20.45
2,1,123,1000046,Link,,N1,,,,2272,621.042
2,1,123,1000047,Bridge,bridge 13,N1,C,False,False,0,40.5
2,1,123,1000048,Bridge,bridge 14,N1,B,False,False,259,40.33
2,1,123,1000049,Link,,N1,,,,0,6.8
2,1,123,1000050,Bridge,bridge 15,N1,A,False,False,5757,6.0
2,1,123,1000051,Bridge,bridge 16,N1,B,False,False,0,10.4
2,1,123,1000052,Link,,N1,,,,14595,1280.083
2,1,123,1000056,Bridge,bridge 17,N1,B,False,False,0,5.5
2,1,123,1000057,Link,,N1,,,,14593,874.029
2,1,123,1000061,Bridge,bridge 18,N1,B,False,False,515,213.5
2,1,123,1000062,Link,,N1,,,,12322,67.955
2,1,123,1000063,Bridge,bridge 19,N1,C,False,False,14594,900.0
2,1,123,1000064,Link,,N1,,,,14595,1110.6100000000001
2,1,123,1000066,Bridge,bridge 20,N1,A,False,False,0,5.6
2,1,123,1000067,Bridge,bridge 21,N1,A,False,False,0,5.5
2,1,123,1000068,Link,,N1,,,,1054,316.921
2,1,123,1000069,Bridge,bridge 22,N1,A,True,True,11605,5.6
2,1,123,1000070,Link,,N1,,,,1012,140.219
2,1,123,1000071,Bridge,bridge 23,N1,A,False,False,6058,163.5
2,1,123,1000072,Bridge,bridge 24,N1,A,False,False,653,172.1
2,1,123,1000073,Link,,N1,,,,7359,415.733
2,1,123,1000075,Bridge,bridge 25,N1,A,False,False,531,29.0
2,1,123,1000076,Bridge,bridge 26,N1,A,False,False,0,29.77
2,1,123,1000077,Link,,N1,,,,13589,649.727
2,1,123,1000078,Bridge,bridge 27,N1,A,False,False,0,34.7
2,1,123,1000079,Link,,N1,,,,8525,643.097
2,1,123,1000083,Bridge,bridge 28,N1,B,False,False,0,26.3
2,1,123,1000084,Link,,N1,,,,14606,845.4590000000001
2,1,123,1000087,Bridge,bridge 29,N1,A,False,False,0,29.0
2,1,123,1000088,Link,,N1,,,,14094,582.337
2,1,123,1000089,Bridge,bridge 30,N1,A,False,False,0,9.1
2,1,123,1000090,Bridge,bridge 31,N1,A,False,False,0,5.2
2,1,123,1000091,Link,,N1,,,,14609,1700.003
2,1,123,1000094,Bridge,bridge 32,N1,A,False,False,0,9.5
2,1,123,1000095,Link,,N1,,,,14607,945.9390000000001
2,1,123,1000098,Bridge,bridge 33,N1,B,False,False,481,24.5
2,1,123,1000099,Link,,N1,,,,14613,8876.918
2,1,123,1000118,Bridge,bridge 34,N1,C,False,False,0,3.9
2,1,123,1000119,Link,,N1,,,,14606,932.32
2,1,123,1000122,Bridge,bridge 35,N1,C,False,False,0,6.5
2,1,123,1000123,Link,,N1,,,,14617,8687.705000000002
2,1,123,1000137,Bridge,bridge 36,N1,C,True,True,11640,28.9
2,1,123,1000138,Link,,N1,,,,14630,11234.391
2,1,123,1000158,Bridge,bridge 37,N1,A,True,True,11621,4.5
2,1,123,1000159,Link,,N1,,,,14626,2988.225
2,1,123,1000165,Bridge,bridge 38,N1,C,True,True,11644,23.1
2,1,123,1000166,Link,,N1,,,,14624,2177.616
2,1,123,1000170,Bridge,bridge 39,N1,B,False,False,0,4.6
2,1,123,1000171,Link,,N1,,,,0,159.478
2,1,123,1000172,Bridge,bridge 40,N1,B,False,False,0,4.6
2,1,123,1000173,Link,,N1,,,,6450,130.454
2,1,123,1000174,Bridge,bridge 41,N1,A,True,True,11615,1.5
2,1,123,1000175,Link,,N1,,,,14626,1197.6689999999999
2,1,123,1000177,Bridge,bridge 42,N1,C,False,False,0,1.0
2,1,123,1000178,Link,,N1,,,,14626,2718.9559999999997
2,1,123,1000183,Bridge,bridge 43,N1,A,False,False,0,1.4
2,1,123,1000186,Link,,N1,,,,26934,3986.3759999999997
2,1,123,1000191,Bridge,bridge 44,N1,C,True,True,21855,22.85
2,1,123,1000192,Link,,N1,,,,27001,5553.24
2,1,123,1000204,Bridge,bridge 45,N1,C,True,True,21545,27.35
2,1,123,1000205,Link,,N1,,,,27096,3923.617
2,1,123,1000211,Bridge,bridge 46,N1,C,False,False,0,27.35
2,1,123,1000212,Link,,N1,,,,27105,2922.4700000000003
2,1,123,1000217,Bridge,bridge 47,N1,A,False,False,417,30.4
2,1,123,1000218,Link,,N1,,,,27118,2987.0919999999996
2,1,123,1000225,Bridge,bridge 48,N1,C,False,False,0,22.8
2,1,123,1000226,Link,,N1,,,,27115,882.272
2,1,123,1000227,Bridge,bridge 49,N1,A,False,False,0,14.3
