road,km,type,LRPName,lat,lon,fix_method,shift_meters,condition,length
N1,1.8,Box Culvert,LRP001a,23.69873866,90.45886107999999,Fixed: Interpolated by Chainage,978.2946433009707,A,11.3
N1,4.925,Box Culvert,LRP004b,23.694663836363635,90.48777491818183,Fixed: Interpolated by Chainage,917.9408556172218,A,6.6
N1,8.976,PC Girder Bridge,LRP008b,23.7045833,90.5188327,Fixed: Matched on LRP Name,0.0,A,394.23
N1,10.88,Box Culvert,LRP010b,23.6998608,90.5307216,Fixed: Matched on LRP Name,3.054810988830841,A,6.3
N1,10.897,Box Culvert,LRP010c,23.6974163,90.5337774,Fixed: Matched on LRP Name,399.2253807793575,A,6.3
N1,11.296,Box Culvert,LRP011a,23.6943608,90.5376108,Fixed: Matched on LRP Name,509.1526982495089,A,8.3
N1,12.239,Box Culvert,LRP012a,23.6911108,90.5448886,Fixed: Matched on LRP Name,418.63660476273964,A,9.3
N1,12.253,Box Culvert,LRP012b,23.6910552,90.5451386,Fixed: Matched on LRP Name,440.1103188316859,A,6.1
N1,12.66,PC Girder Bridge,LRP013a,23.6854997,90.5512778,Fixed: Matched on LRP Name,0.0,A,27.5
N1,12.66,PC Girder Bridge,LRP013a,23.6854997,90.5512778,Fixed: Matched on LRP Name,901.4170412115824,A,26.3
N1,12.66,PC Girder Bridge,LRP013a,23.6854997,90.5512778,Fixed: Matched on LRP Name,901.4170412115824,A,26.3
N1,12.688,PC Girder Bridge,LRP013b,23.685361977934274,90.55135917652582,Fixed: Interpolated by Chainage,8.421180020442789e-09,A,27.5
N1,13.574,Box Culvert,LRP014a,23.6778035,90.55581943499999,Fixed: Interpolated by Chainage,987.686743927875,A,11.9
N1,17.222,PC Girder Bridge,LRP018b,23.6506944,90.5829993,Fixed: Matched on LRP Name,0.0,A,20.45
N1,17.222,PC Girder Bridge,LRP018a,23.6508889,90.5826382,Fixed: Matched on LRP Name,0.0,A,20.5
N1,18.093,PC Girder Bridge,LRP018c,23.649754399354837,90.58454900854838,Fixed: Interpolated by Chainage,9.541036594860794e-09,A,25.5
N1,19.76,Box Culvert,LRP020a,23.6358608,90.5948052,Fixed: Matched on LRP Name,1314.9356381684124,A,6.0
N1,21.184,PC Girder Bridge,LRP021c,23.628466850769232,90.6023015723077,Fixed: Interpolated by Chainage,3.555393632130079e-09,A,86.92
N1,21.184,PC Girder Bridge,LRP021d,23.628466850769232,90.6023015723077,Fixed: Interpolated by Chainage,3.555393632130079e-09,A,89.75
N1,21.184,PC Girder Bridge,LRP021c,23.628466850769232,90.6023015723077,Fixed: Interpolated by Chainage,840.0742554562689,A,89.2
N1,22.596,PC Girder Bridge,LRP023a,23.6095556,90.6121944,Fixed: Matched on LRP Name,1774.5182669418716,A,224.8
N1,23.081,PC Girder Bridge,LRP023d,23.613587384385028,90.61090295614973,Fixed: Interpolated by Chainage,4.286378978993146e-09,A,119.32
N1,23.081,PC Girder Bridge,LRP023c,23.613587384385028,90.61090295614973,Fixed: Interpolated by Chainage,4.286378978993146e-09,A,119.48
N1,23.081,PC Girder Bridge,LRP023c,23.613587384385028,90.61090295614973,Fixed: Interpolated by Chainage,829.5445412229568,A,120.1
N1,24.393,PC Girder Bridge,LRP024a,23.6018611,90.6159722,Fixed: Matched on LRP Name,0.0,A,924.85
N1,26.115,Box Culvert,LRP026a,23.5959441,90.6246938,Fixed: Matched on LRP Name,342.2296547045477,A,5.6
N1,26.452,Box Culvert,LRP026b,23.5917497,90.6293327,Fixed: Matched on LRP Name,681.6214304046127,A,5.5
N1,27.12,Box Culvert,LRP027a,23.5828327,90.6369441,Fixed: Matched on LRP Name,1258.849592136012,A,5.6
N1,28.315,PC Girder Bridge,LRP028b,23.577916,90.6419719,Fixed: Matched on LRP Name,0.0,A,172.1
N1,28.315,PC Girder Bridge,LRP028a,23.5825827,90.6381386,Fixed: Matched on LRP Name,0.0,A,173.25
N1,28.315,PC Girder Bridge,LRP028a,23.5825827,90.6381386,Fixed: Matched on LRP Name,330.2338622829014,A,163.5
N1,29.138,PC Girder Bridge,LRP029a,23.572166,90.6451108,Fixed: Matched on LRP Name,0.0,A,29.85
N1,29.138,PC Girder Bridge,LRP029b,23.5718327,90.6453052,Fixed: Matched on LRP Name,0.0,A,29.77
N1,29.138,PC Girder Bridge,LRP029a,23.572166,90.6451108,Fixed: Matched on LRP Name,724.3257231521218,A,29.0
N1,29.138,PC Girder Bridge,LRP029a,23.572166,90.6451108,Fixed: Matched on LRP Name,724.3257231521218,A,29.0
N1,29.842,Box Culvert,LRP030a,23.5639167,90.6501944,Fixed: Matched on LRP Name,1069.698269690155,A,34.7
N1,30.908,PC Girder Bridge,LRP031a,23.5590278,90.6559444,Fixed: Matched on LRP Name,0.0,A,27.4
N1,30.908,PC Girder Bridge,LRP031a,23.5590278,90.6559444,Fixed: Matched on LRP Name,0.0,A,27.4
N1,30.908,PC Girder Bridge,LRP031a,23.5590278,90.6559444,Fixed: Matched on LRP Name,820.2887676429654,A,26.3
N1,31.472,PC Girder Bridge,LRP032a,23.5523333,90.6636667,Fixed: Matched on LRP Name,0.0,A,29.85
N1,31.472,PC Girder Bridge,LRP032b,23.55570829012658,90.65974142455696,Fixed: Interpolated by Chainage,1.0776179026801791e-08,A,29.83
N1,31.472,PC Girder Bridge,LRP032a,23.5523333,90.6636667,Fixed: Matched on LRP Name,1325.450110692961,A,29.0
N1,31.472,PC Girder Bridge,LRP032a,23.5523333,90.6636667,Fixed: Matched on LRP Name,1325.450110692961,A,29.0
N1,32.121,PC Girder Bridge,LRP032d,23.55174219072165,90.66435387525773,Fixed: Interpolated by Chainage,6.243461515572647e-09,A,29.87
N1,32.121,PC Girder Bridge,LRP032e,23.55174219072165,90.66435387525773,Fixed: Interpolated by Chainage,6.243461515572647e-09,A,29.9
N1,32.121,PC Girder Bridge,LRP032d,23.55174219072165,90.66435387525773,Fixed: Interpolated by Chainage,768.1764733790548,A,28.9
N1,32.121,PC Girder Bridge,LRP032d,23.55174219072165,90.66435387525773,Fixed: Interpolated by Chainage,772.5060182506363,A,28.9
N1,32.777,Box Culvert,LRP033a,23.5474163,90.6694438,Fixed: Matched on LRP Name,814.0272421827268,A,9.1
N1,32.796,Box Culvert,LRP033b,23.5469441,90.6699993,Fixed: Matched on LRP Name,882.8942115481318,A,5.2
N1,33.591,PC Girder Bridge,LRP034a,23.54268543125,90.6748292125,Fixed: Interpolated by Chainage,751.9478340798003,A,72.49
N1,33.591,PC Girder Bridge,LRP034a,23.54268543125,90.6748292125,Fixed: Interpolated by Chainage,753.8846284604808,A,59.2
N1,33.591,PC Girder Bridge,LRP034a,23.54268543125,90.6748292125,Fixed: Interpolated by Chainage,751.9478340798003,A,70.0
N1,33.591,PC Girder Bridge,LRP034b,23.54268543125,90.6748292125,Fixed: Interpolated by Chainage,753.8846284604808,A,59.83
N1,35.181,Box Culvert,LRP035a,23.536083,90.6821382,Fixed: Matched on LRP Name,304.7791461668961,A,9.5
N1,35.408,PC Girder Bridge,LRP036a,23.529916,90.6952219,Fixed: Matched on LRP Name,0.0,A,25.45
N1,35.408,PC Girder Bridge,LRP036b,23.531399660522272,90.68744892596007,Fixed: Interpolated by Chainage,1.0719009845172242e-08,A,25.45
N1,35.707,Box Culvert,LRP036c,23.530151962650603,90.68979518373494,Fixed: Interpolated by Chainage,719.1097813684164,A,8.4
N1,37.01,PC Box,LRP037a,23.5303844733,90.7024402743,Fixed: Interpolated by Chainage,0.0,A,1408.8
N1,48.384,RCC Girder Bridge,LRP049a,23.5318234765,90.8110155135,Fixed: Interpolated by Chainage,0.0,A,15.9
N1,50.558,Box Culvert,LRP051a,23.5329743291,90.83097747619999,Fixed: Interpolated by Chainage,639.6248003844396,A,12.2
N1,63.538,Box Culvert,LRP064c,23.5011161052,90.94738440889999,Fixed: Interpolated by Chainage,564.2585852550243,A,3.0
N1,68.04,Box Culvert,LRP068a,23.4951386,90.9829993,Fixed: Matched on LRP Name,6.210029182207837,A,4.5
N1,76.481,Slab Culvert,LRP077a,23.4815271,91.0590278,Fixed: Matched on LRP Name,280.4612170433173,A,1.5
N1,82.437,Box Culvert,LRP083a,23.4789438,91.1177216,Fixed: Matched on LRP Name,12.620216626552196,A,1.4
N1,82.989,Slab Culvert,LRP083b,23.479544924,91.12904714400001,Fixed: Interpolated by Chainage,566.52341068381,A,2.9
N1,87.713,RCC Girder Bridge,LRP088a,23.459,91.142333,Fixed: Matched on LRP Name,1225.472698694387,A,23.4
N1,97.257,RCC Girder Bridge,LRP098a,23.4100278,91.2090833,Fixed: Matched on LRP Name,1111.4553019269476,A,27.9
N1,100.938,RCC Girder Bridge,LRP101a,23.3914441,91.2293049,Fixed: Matched on LRP Name,0.0,A,30.48
N1,100.938,RCC Girder Bridge,LRP101a,23.3914441,91.2293049,Fixed: Matched on LRP Name,1805.3103217879916,A,30.4
N1,104.753,Box Culvert,LRP105a,23.3586389,91.25325,Fixed: Matched on LRP Name,1287.9194867962076,A,14.3
N1,106.519,Box Culvert,LRP107a,23.3301462324,91.2748792824,Fixed: Interpolated by Chainage,812.8296482606055,A,24.0
N1,108.125,Box Culvert,LRP109a,23.318069686913848,91.28308673217012,Fixed: Interpolated by Chainage,794.3086027268506,A,9.2
N1,110.551,Box Culvert,LRP111a,23.3149444,91.2844719,Fixed: Matched on LRP Name,1302.682987525281,A,3.2
N1,111.509,Box Culvert,LRP112a,23.30425,91.288583,Fixed: Matched on LRP Name,961.5792623458659,A,13.4
N1,117.627,Box Culvert,LRP118d,23.239792030966953,91.31257408604651,Fixed: Interpolated by Chainage,638.3933851387629,A,2.6
N1,118.049,Box Culvert,LRP119a,23.249833,91.3091944,Fixed: Matched on LRP Name,953.3094101836547,A,2.5
N1,119.628,Box Culvert,LRP120b,23.2344997,91.3131667,Fixed: Matched on LRP Name,769.3213938539102,A,6.0
