,road,chainage,lrp,lat,lon,gap,type,name
0,N1,0.0,LRPS,23.7060278,90.443333,,Others,Start of Road  after Jatrabari Flyover infront of filling station.
1,N1,0.814,LRPSa,23.7029167,90.4504167,,Culvert,Box Culvert
2,N1,0.822,LRPSb,23.7027778,90.4504722,,CrossRoad,Intersection with Z1101
3,N1,1.0,LRP001,23.7021389,90.4519722,,KmPost,Km post missing
4,N1,2.0,LRP002,23.6978886,90.4605833,,KmPost,Km post missing
5,N1,2.13,LRP002a,23.6973608,90.4616667,,Culvert,Box culvert
6,N1,3.0,LRP003,23.693833,90.4691382,,KmPost,Km post missing
7,N1,4.0,LRP004,23.6936108,90.4787771,,KmPost,Km post missing
8,N1,4.175,LRP004a,23.6938052,90.4805271,,"SideRoad,Right",Road to Narayanganj(R111)
9,N1,5.0,LRP005,23.6947497,90.4884997,,KmPost,Km post missing
10,N1,6.0,LRP006,23.6959163,90.4981941,,KmPost,Km post missing
11,N1,7.0,LRP007,23.697333,90.50775,,KmPost,Km post missing
12,N1,7.181,LRP007a,23.6979163,90.5092778,,CrossRoad,"R110,Left to Demra, Right to Narayanganj"
13,N1,8.0,LRP008,23.7020556,90.5157222,,KmPost,Km post missing
14,N1,8.011,LRP008a,23.7021111,90.5157778,,Bridge,Kachpur bridge
15,N1,8.429,LRP008b,23.7045833,90.5188327,,Bridge,Bridge end
16,N1,8.503,LRP009,23.7050278,90.5193327,,KmPost,"Chittagong 251 km,Comilla 84 km"
17,N1,8.763,LRP009a,23.7060833,90.5215271,,"SideRoad,Left",Road to Sylhet (N2)
18,N1,9.503,LRP010,23.7025278,90.5273882,,KmPost,Km post missing
19,N1,9.615,LRP010a,23.7015278,90.5281938,,Culvert,Box culvert
20,N1,9.963,LRP010b,23.6998608,90.5307216,,Culvert,Box culvert
21,N1,10.377,LRP010c,23.6974163,90.5337774,,Culvert,Box culvert
22,N1,10.503,LRP011,23.6966386,90.5348052,,KmPost,Km post missing
23,N1,10.885,LRP011a,23.6943608,90.5376108,,Culvert,Box culvert
24,N1,11.313,LRP011b,23.6922774,90.5410552,,Culvert,Box culvert
25,N1,11.497,LRP012,23.6918052,90.5426108,,KmPost,"Chittagong 248 km,Comilla 81 km"
26,N1,11.745,LRP012a,23.6911108,90.5448886,,Bridge,Bridge start
27,N1,11.771,LRP012b,23.6910552,90.5451386,,Bridge,Bridge end
28,N1,11.936,LRP012c,23.6904163,90.546583,,"SideRoad,Right",Right to Syedpur (R113) left to Joydebpur N105)
29,N1,12.524,LRP013,23.6865274,90.5504167,,KmPost,"Ctg 247 km,Comilla 80 km"
30,N1,12.672,LRP013a,23.6854997,90.5512778,,Culvert,Box culvert
31,N1,13.524,LRP014,23.678166,90.5556111,,KmPost,Km post missing
32,N1,14.524,LRP015,23.670916,90.5597778,,KmPost,Km post missing
33,N1,14.563,LRP015a,23.6705827,90.5599722,,Culvert,Box culvert
34,N1,15.524,LRP016,23.6628333,90.5641111,,KmPost,Km post missing
35,N1,15.935,LRP016a,23.6604167,90.5671104,,"SideRoad,Right",Road to MinanbariZ1061)
36,N1,16.242,LRP016b,23.6591111,90.5697216,,Bridge,Langalbandhu bridge
37,N1,16.402,LRP016c,23.6583056,90.5709993,,Bridge,Bridge end
38,N1,16.524,LRP017,23.6575,90.5719716,,KmPost,Km post missing
39,N1,16.831,LRP017a,23.6559722,90.5743327,,Bridge,Bridge start
40,N1,16.852,LRP017b,23.6559167,90.5745271,,Bridge,Bridge end
41,N1,17.204,LRP017c,23.6540556,90.5772771,,Bridge,Bridge start
42,N1,17.234,LRP017d,23.6539167,90.5774993,,Bridge,Bridge end
43,N1,17.524,LRP018,23.6525278,90.5798882,,KmPost,Km post missing
44,N1,17.863,LRP018a,23.6508889,90.5826382,,Bridge,Bridge start
45,N1,17.904,LRP018b,23.6506944,90.5829993,,Bridge,Bridge end
46,N1,18.524,LRP019,23.6476108,90.588083,,KmPost,Km post missing
47,N1,18.878,LRP019a,23.6449441,90.5899163,,Culvert,Box culvert
48,N1,19.521,LRP019b,23.6397497,90.5926941,,Culvert,Box culvert
49,N1,19.524,LRP020,23.6396941,90.5927219,,KmPost,Km post missing
50,N1,20.044,LRP020a,23.6358608,90.5948052,,"SideRoad,Left",Left to Sonargaon (Z1089) Right to Morgrapara ( Z1066)
51,N1,20.342,LRP020b,23.6341108,90.5970274,,Bridge,Bridge start
52,N1,20.442,LRP020c,23.6335552,90.5976941,,Bridge,Bridge end
53,N1,20.524,LRP021,23.6330549,90.5982774,,KmPost,Km post missing
54,N1,21.499,LRP021a,23.6262771,90.6042222,,Culvert,Box culvert
55,N1,21.629,LRP022,23.6252216,90.6049722,,KmPost,"Ctg 238 km,Comilla 71 km"
56,N1,21.765,LRP022a,23.6242216,90.6055278,,Bridge,Bridge start
57,N1,21.993,LRP022b,23.6224993,90.6066944,,Bridge,Bridge end
58,N1,22.252,LRP022c,23.6204716,90.6079722,,Bridge,Bridge start
59,N1,22.374,LRP022d,23.6195271,90.6085833,,Bridge,Bridge end
60,N1,22.629,LRP023,23.6173604,90.6096944,,KmPost,Km post missing
61,N1,23.564,LRP023a,23.6095556,90.6121944,,Bridge,Meghna  bridge
62,N1,23.629,LRP024,23.609,90.6124722,,KmPost,Km post missing
63,N1,24.503,LRP024a,23.6018611,90.6159722,,Bridge,Bridge end
64,N1,24.629,LRP025,23.6009444,90.6165556,,KmPost,Km post missing
65,N1,25.629,LRP026,23.5959997,90.624666,,KmPost,Km post missing
66,N1,25.639,LRP026a,23.5959441,90.6246938,,Culvert,Box culvert
67,N1,26.313,LRP026b,23.5917497,90.6293327,,Culvert,Box culvert
68,N1,26.629,LRP027,23.5896108,90.6313882,,KmPost,Km post missing
69,N1,27.503,LRP027a,23.5828327,90.6369441,,Bridge,Bridge start
70,N1,27.629,LRP028,23.5828327,90.6378886,,KmPost,Km post missing
71,N1,27.668,LRP028a,23.5825827,90.6381386,,Bridge,Bridge end
72,N1,28.324,LRP028b,23.577916,90.6419719,,Bridge,Bridge start
73,N1,28.363,LRP028c,23.5776104,90.6421108,,Bridge,Bridge end
74,N1,28.759,LRP029,23.5745271,90.6436941,,KmPost,Information missing
75,N1,29.067,LRP029a,23.572166,90.6451108,,Bridge,Bridge start
76,N1,29.113,LRP029b,23.5718327,90.6453052,,Bridge,Bridge end
77,N1,29.759,LRP030,23.5666111,90.6481663,,KmPost,Km post missing
78,N1,30.127,LRP030a,23.5639167,90.6501944,,Bridge,Bridge start
79,N1,30.165,LRP030b,23.5636944,90.6504722,,Bridge,Bridge end
80,N1,30.697,LRP030c,23.5604167,90.6542222,,Bridge,Bridge start
81,N1,30.735,LRP030d,23.5602222,90.6545,,Bridge,Bridge end
82,N1,30.774,LRP031,23.5599722,90.6548056,,KmPost,"Ctg 229 km,Comilla 62 km"
83,N1,30.936,LRP031a,23.5590278,90.6559444,,"SideRoad,Right",Road to Gazara (Z1063)
84,N1,31.348,LRP031b,23.5564444,90.6588611,,Bridge,Bridge start
85,N1,31.388,LRP031c,23.5562222,90.6591389,,Bridge,Bridge end
86,N1,31.783,LRP032,23.5538056,90.6619722,,KmPost,"Ctg 228 km,Comilla 61 km"
87,N1,32.025,LRP032a,23.5523333,90.6636667,,Culvert,Box culvert
88,N1,32.607,LRP033,23.5487497,90.6678327,,KmPost,"Ctg 227 km,Comilla 60 km"
89,N1,32.831,LRP033a,23.5474163,90.6694438,,Bridge,Bridge start
90,N1,32.908,LRP033b,23.5469441,90.6699993,,Bridge,Bridge end
91,N1,33.351,LRP033c,23.5442219,90.6731104,,Culvert,Box culvert
92,N1,33.607,LRP034,23.542583,90.6749438,,KmPost,Km post missing
93,N1,34.607,LRP035,23.5362497,90.681916,,KmPost,Km post missing
94,N1,34.641,LRP035a,23.536083,90.6821382,,Bridge,Bridge start
95,N1,34.681,LRP035b,23.5358608,90.6823604,,Bridge,Bridge end
96,N1,34.956,LRP035c,23.5341386,90.6843052,,Culvert,Box culvert
97,N1,35.607,LRP036,23.5301938,90.688833,,KmPost,Km post missing
98,N1,36.271,LRP036a,23.529916,90.6952219,,Bridge,Daudkandi bridge
99,N1,36.607,LRP037,23.5301382,90.6984997,,KmPost,Km post missing
100,N1,37.607,LRP038,23.5307493,90.7082778,,KmPost,Km post missing
101,N1,37.685,LRP038a,23.5307771,90.7090278,,Bridge,Daudkandi bridge
102,N1,38.04,LRP038b,23.5313882,90.7153611,,Others,Start of Comilla road Division
103,N1,38.04,LRP038b,23.5313882,90.7153611,,Others,Start of Comilla road Division
104,N1,38.466,LRP038c,23.5314716,90.7172216,,"SideRoad,Right",Road to Matlab (Z1062)
105,N1,38.543,LRP038d,23.5315271,90.7173604,,Bridge,Bridge start
106,N1,38.56,LRP038e,23.5315827,90.7176104,,Bridge,Bridge end
107,N1,38.607,LRP039,23.5317216,90.7180271,,KmPost,Km post missing
108,N1,39.12,LRP039a,23.5168049,90.7226382,,Culvert,Box culvert
